Time [s],Packet ID,MOSI,MISO
5.362244852000000,0,0x4400,0x0000
5.362260436000000,1,0x0286,0x0000
5.362291254000000,2,0xC200,0x0000
5.362306410000000,3,0x0000,0x0C5B
5.362324066000000,4,0x5300,0x5B5B
5.362338566000000,5,0x0000,0x5B5B
5.362353754000000,6,0x4C00,0x5B5B
5.362367690000000,7,0x0400,0x5B5B
5.362383410000000,8,0x4D00,0x5B5B
5.362397378000000,9,0x000E,0x5B5B
5.362412878000000,10,0x4D00,0x5B5B
5.362426816000000,11,0x001E,0x5B5B
6.340869146000000,12,0x4600,0x5B5B
6.340884302000000,13,0x0044,0x5B5B
6.340900302000000,14,0x4A00,0x5B5B
6.340917520000000,15,0x8888,0x5B5B
6.340931740000000,16,0x8888,0x5B5B
6.340948614000000,17,0x4700,0x5B5B
6.340962740000000,18,0xC47D,0x5B5B
6.340977958000000,19,0xC500,0x5B5B
6.340992990000000,20,0x0000,0x0023
6.341010020000000,21,0x4C00,0x2323
6.341024208000000,22,0x0300,0x2323
6.341042084000000,23,0x4600,0x2323
6.341056334000000,24,0x0044,0x2323
6.341071520000000,25,0x4A00,0x2323
6.341087646000000,26,0x4242,0x2323
6.341101896000000,27,0x4242,0x2323
6.341118364000000,28,0x4700,0x2323
6.341132676000000,29,0xC47E,0x2323
6.341147926000000,30,0xC500,0x2323
6.341162302000000,31,0x0000,0x0023
6.341179146000000,32,0x4C00,0x2323
6.341193240000000,33,0x0300,0x2323
6.341210676000000,34,0x4600,0x2323
6.341224740000000,35,0x0044,0x2323
6.341239864000000,36,0x4A00,0x2323
6.341256084000000,37,0x0000,0x2323
6.341270270000000,38,0x0000,0x2323
6.341286770000000,39,0x4700,0x2323
6.341300990000000,40,0xC47F,0x2323
6.341316208000000,41,0xC500,0x2323
6.341330458000000,42,0x0000,0x0023
6.341347052000000,43,0x4C00,0x2323
6.341361176000000,44,0x0300,0x2323
6.341378614000000,45,0x4600,0x2323
6.341392740000000,46,0x0004,0x2323
6.341407926000000,47,0x4A00,0x2323
6.341424082000000,48,0x7888,0x2323
6.341438334000000,49,0x4200,0x2323
6.341454708000000,50,0x4700,0x2323
6.341468832000000,51,0xC47C,0x2323
6.341483990000000,52,0xC500,0x2323
6.341498240000000,53,0x0000,0x0023
6.341515082000000,54,0x4C00,0x2323
6.341529176000000,55,0x0300,0x2323
6.341545208000000,56,0x4600,0x2323
6.341559146000000,57,0x0004,0x2323
6.341574458000000,58,0x4700,0x2323
6.341588396000000,59,0x8474,0x2323
6.341603426000000,60,0xC500,0x2323
6.341617520000000,61,0x0000,0x0023
6.341634176000000,62,0xC800,0x2323
6.341650052000000,63,0x0000,0x005A
6.341664708000000,64,0x0000,0x6202
6.341681708000000,65,0x4C00,0x0202
6.341696270000000,66,0x0300,0x0202
6.341715770000000,67,0x4600,0x0202
6.341730052000000,68,0x0004,0x0202
6.341745302000000,69,0x4A00,0x0202
6.341761552000000,70,0x3100,0x0202
6.341775708000000,71,0x0000,0x0202
6.341792020000000,72,0x4700,0x0202
6.341809832000000,73,0xC474,0x0202
6.341825082000000,74,0xC500,0x0202
6.341839426000000,75,0x0000,0x0023
6.341856332000000,76,0x4C00,0x2323
6.341870332000000,77,0x0300,0x2323
6.341888208000000,78,0x4600,0x2323
6.341902270000000,79,0x0044,0x2323
6.341917520000000,80,0x4A00,0x2323
6.341934052000000,81,0x8888,0x2323
6.341948270000000,82,0x8888,0x2323
6.341964708000000,83,0x4700,0x2323
6.341978708000000,84,0xC479,0x2323
6.341993864000000,85,0xC500,0x2323
6.342008270000000,86,0x0000,0x0023
6.342025082000000,87,0x4C00,0x2323
6.342039302000000,88,0x0300,0x2323
6.342056738000000,89,0x4600,0x2323
6.342070802000000,90,0x0044,0x2323
6.342086082000000,91,0x4A00,0x2323
6.342102114000000,92,0x4242,0x2323
6.342116302000000,93,0x4242,0x2323
6.342132896000000,94,0x4700,0x2323
6.342147114000000,95,0xC47A,0x2323
6.342162270000000,96,0xC500,0x2323
6.342176676000000,97,0x0000,0x0023
6.342193614000000,98,0x4C00,0x2323
6.342207676000000,99,0x0300,0x2323
6.342225208000000,100,0x4600,0x2323
6.342239270000000,101,0x0044,0x2323
6.342254646000000,102,0x4A00,0x2323
6.342270864000000,103,0x0000,0x2323
6.342285208000000,104,0x0000,0x2323
